Age,Count
0,300826
1,313558
2,324359
3,334174
4,333507
5,336919
6,344388
7,355464
8,347216
9,341749
10,336438
11,338878
12,327705
13,322455
14,309314
15,304454
16,295300
17,290912
18,301574
19,310275
20,324830
21,329430
22,343669
23,346904
24,350309
25,361180
26,364387
27,379124
28,384736
29,378860
30,379105
31,386611
32,380646
33,380499
34,380541
35,373947
36,377262
37,376800
38,377977
39,378545
40,362127
41,336646
42,331751
43,338783
44,344794
45,351131
46,365461
47,380281
48,394731
49,384915
50,393753
51,392996
52,396581
53,398167
54,399036
55,394299
56,384817
57,374686
58,361033
59,346203
60,337691
61,329792
62,317256
63,305076
64,294782
65,295946
66,290651
67,283061
68,284178
69,290104
70,295606
71,311295
72,335315
73,258165
74,248795
75,245774
76,227591
77,201831
78,179947
79,184833
80,180860
81,172748
82,161532
83,150373
84,138943
85,125011
86,114723
87,106772
88,96951
89,85471
90+,351039
All Ages,28459130
